"seqn","ocq130","ocq150","ocq160","ocq180","ocq210","ocd230","ocd240","ocq260","ocd270","ocq280","ocq290g","ocq290q","ocq300","ocq310a","ocq310b","ocq310c","ocq330a","ocq330b","ocq330c","ocq330d","ocq330e","ocq340","ocq350","ocq360","ocq380","ocq390g","ocd390","ocd395","ocq420","ocq430","ocq440","ocq450","ocq470g","ocd470","ocd480"
7183,NA,1,NA,100,NA,28,11,5,360,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA
7184,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
7185,NA,1,NA,65,NA,2,27,1,96,1,1,1,1,1,1,1,NA,2,NA,4,NA,1,1,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7186,NA,1,NA,50,NA,44,8,3,36,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7187,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,192,2,NA,NA,NA,NA,NA,NA
7188,NA,1,NA,8,2,28,11,1,48,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7189,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7190,NA,1,NA,60,NA,43,18,4,108,1,2,NA,1,2,1,1,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7191,NA,1,NA,50,NA,12,31,1,30,1,1,10,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA
7192,NA,1,NA,35,NA,31,23,1,0,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,20,132,NA,NA,NA,NA,NA,NA,NA
7193,NA,1,NA,40,NA,27,19,1,12,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7195,NA,1,NA,25,2,23,39,1,3,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,16,300,NA,NA,NA,NA,NA,NA,NA
7196,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
7197,NA,1,NA,40,NA,5,31,1,6,1,1,1,1,2,1,1,NA,NA,NA,NA,5,1,1,8,NA,1,16,24,NA,2,NA,NA,NA,NA,NA
7198,NA,1,NA,56,NA,1,26,1,24,2,2,NA,1,2,2,1,1,NA,NA,NA,NA,1,1,1,NA,1,30,36,NA,1,8,2,NA,NA,NA
7199,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
7200,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
7201,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,16,180,2,NA,NA,NA,NA,NA,NA
7204,NA,1,NA,30,2,30,23,99,2,1,2,NA,1,2,2,1,NA,NA,NA,4,NA,2,NA,NA,NA,1,10,24,NA,NA,NA,NA,4,NA,NA
7205,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,35,264,1,1,10,2,NA,NA,NA
7207,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,11,24,2,NA,NA,NA,4,NA,NA
7210,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,4,360,2,NA,NA,NA,NA,NA,NA
7211,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,33,324,1,1,8,2,NA,NA,NA
7212,NA,2,2,NA,1,15,30,1,180,1,1,0,1,1,1,1,1,NA,NA,4,NA,1,1,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7213,NA,1,NA,25,2,28,11,1,0,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,8,24,NA,NA,NA,NA,NA,NA,NA
7214,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,32,5,2,NA,NA,NA,NA,NA,NA
7217,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,9,360,2,NA,NA,NA,NA,NA,NA
7218,NA,1,NA,40,NA,4,29,1,300,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7219,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,23,420,2,NA,NA,NA,NA,NA,NA
7221,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,14,372,1,1,2,2,NA,NA,NA
7223,NA,1,NA,40,NA,98,2,2,24,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,48,NA,NA,NA,NA,NA,NA,NA
7224,NA,1,NA,40,NA,40,1,3,84,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,5,204,NA,NA,NA,NA,NA,NA,NA
7225,NA,1,NA,12,1,36,24,1,24,2,2,NA,1,2,2,1,1,NA,NA,NA,NA,1,1,5,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA
7227,NA,1,NA,40,NA,4,30,1,4,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,40,12,NA,NA,NA,NA,NA,NA,NA
7229,NA,1,NA,40,NA,30,34,1,252,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7230,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,35,360,2,NA,NA,NA,NA,NA,NA
7231,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,39,300,2,NA,NA,NA,NA,NA,NA
7233,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
7234,NA,1,NA,30,1,42,1,5,96,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7235,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
7236,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,20,24,2,NA,NA,NA,NA,NA,NA
7237,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,23,420,2,NA,NA,NA,NA,NA,NA
7238,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,360,1,1,8,2,NA,NA,NA
7239,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7241,NA,1,NA,40,NA,31,23,1,8,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7243,NA,1,NA,32,1,30,16,3,48,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7244,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,26,192,2,NA,NA,NA,NA,NA,NA
7245,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7249,NA,1,NA,80,NA,16,10,1,96,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7251,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,12,180,2,NA,NA,NA,NA,NA,NA
7252,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
7254,NA,1,NA,30,2,31,11,1,48,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,98,144,NA,NA,NA,NA,NA,NA,NA
7255,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7256,NA,1,NA,47,NA,39,4,1,12,2,1,1,1,2,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7258,NA,1,NA,40,NA,12,33,1,240,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7259,NA,1,NA,20,2,31,12,5,6,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,12,180,NA,NA,NA,NA,NA,NA,NA
7261,NA,1,NA,4,1,40,5,1,12,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,9,72,NA,2,NA,NA,NA,NA,NA
7262,NA,1,NA,40,NA,1,27,1,0,2,2,NA,1,2,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7263,NA,1,NA,48,NA,37,16,99,5,2,2,NA,1,2,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7264,NA,1,NA,32,2,31,11,1,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,24,10,NA,1,1,2,NA,NA,NA
7265,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,17,300,2,NA,NA,NA,NA,NA,NA
7266,NA,1,NA,20,2,27,11,1,12,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7267,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,38,480,1,1,14,2,NA,NA,NA
7269,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,33,360,1,1,8,2,NA,NA,NA
7272,NA,1,NA,48,NA,14,2,1,12,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7273,NA,1,NA,27,2,4,30,1,24,2,2,NA,1,2,2,1,NA,NA,NA,4,NA,1,1,5,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7275,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,13,84,2,NA,NA,NA,NA,NA,NA
7276,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,28,660,1,1,1,2,NA,NA,NA
7277,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,204,2,NA,NA,NA,NA,NA,NA
7278,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,40,300,2,NA,NA,NA,NA,NA,NA
7279,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,24,2,NA,NA,NA,NA,NA,NA
7280,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7281,NA,1,NA,25,2,42,14,5,204,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7282,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,22,120,2,NA,NA,NA,NA,NA,NA
7283,NA,1,NA,30,2,31,35,1,60,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,98,336,NA,1,8,1,NA,NA,NA
7284,NA,1,NA,60,NA,30,7,1,240,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7285,NA,1,NA,40,NA,38,15,1,36,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,98,96,NA,NA,NA,NA,NA,NA,NA
7286,NA,1,NA,22,2,26,11,1,2,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7288,NA,1,NA,40,NA,28,11,1,120,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7289,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7290,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,30,432,2,NA,NA,NA,NA,NA,NA
7293,NA,1,NA,40,NA,28,14,5,36,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7295,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,26,516,1,1,12,2,NA,NA,NA
7297,NA,1,NA,36,NA,39,4,1,8,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7299,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7300,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,48,2,NA,NA,NA,NA,NA,NA
7301,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,32,96,2,NA,NA,NA,NA,NA,NA
7302,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
7303,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7304,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7307,NA,1,NA,37,NA,10,34,1,156,1,2,NA,1,2,2,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7308,NA,1,NA,40,NA,13,8,1,24,1,1,8,1,1,1,1,NA,2,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7310,NA,1,NA,55,NA,34,19,1,48,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7311,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,11,2,2,NA,NA,NA,NA,NA,NA
7312,NA,1,NA,40,NA,44,7,3,144,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7313,NA,1,NA,58,NA,4,37,1,6,1,1,8,1,1,1,1,1,2,NA,4,NA,1,1,8,NA,1,98,48,NA,2,NA,NA,NA,NA,NA
7314,NA,1,NA,44,NA,10,31,1,36,1,2,NA,1,2,1,1,1,NA,NA,4,NA,2,NA,NA,NA,1,20,120,NA,NA,NA,NA,NA,NA,NA
7315,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,14,276,1,1,6,2,NA,NA,NA
7316,NA,1,NA,40,NA,31,18,1,7,1,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,28,192,NA,1,1,2,NA,NA,NA
7318,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
7319,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,11,204,2,NA,NA,NA,NA,NA,NA
7322,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,35,324,2,NA,NA,NA,NA,NA,NA
7323,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7324,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,22,144,2,NA,NA,NA,NA,NA,NA
7325,NA,1,NA,40,NA,43,15,3,84,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7327,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7329,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
7331,NA,1,NA,6,2,27,19,1,12,2,1,7,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7332,NA,2,2,NA,1,32,31,5,18,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,37,156,NA,1,10,2,NA,NA,NA
7333,NA,1,NA,60,NA,19,1,1,6,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,84,NA,NA,NA,NA,NA,NA,NA
7334,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,384,2,NA,NA,NA,NA,NA,NA
7335,NA,1,NA,65,NA,42,2,5,192,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7336,NA,1,NA,42,NA,42,3,1,24,1,2,NA,1,2,2,1,1,NA,NA,4,NA,1,2,NA,NA,1,1,12,NA,1,9,1,NA,NA,NA
7337,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,5,564,1,1,1,2,NA,NA,NA
7338,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,11,12,2,NA,NA,NA,NA,NA,NA
7339,NA,1,NA,50,NA,40,1,3,5,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,120,NA,NA,NA,NA,NA,NA,NA
7341,NA,1,NA,24,1,10,33,1,24,1,1,1,1,2,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,1,21,36,NA,NA,NA,NA,NA,NA,NA
7342,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,25,372,2,NA,NA,NA,NA,NA,NA
7344,NA,1,NA,32,2,4,37,1,12,2,1,3,1,1,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,1,39,24,NA,NA,NA,NA,NA,NA,NA
7346,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,21,120,1,2,NA,NA,NA,NA,NA
7347,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,408,2,NA,NA,NA,NA,NA,NA
7349,NA,1,NA,30,1,40,5,1,12,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,6,36,NA,NA,NA,NA,NA,NA,NA
7350,NA,1,NA,35,NA,25,16,1,1,1,1,8,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,10,36,NA,NA,NA,NA,NA,NA,NA
7351,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7352,NA,1,NA,40,NA,4,30,1,96,1,2,NA,1,1,1,1,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7354,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7355,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,30,684,2,NA,NA,NA,NA,NA,NA
7356,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7357,NA,1,NA,40,NA,29,16,1,156,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7358,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,12,408,2,NA,NA,NA,NA,NA,NA
7359,NA,1,NA,40,NA,16,30,1,96,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7360,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,180,2,NA,NA,NA,NA,NA,NA
7361,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7362,NA,1,NA,40,NA,30,16,1,108,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,16,108,NA,2,NA,NA,NA,NA,NA
7363,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,120,2,NA,NA,NA,3,NA,19
7364,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7366,NA,1,NA,48,NA,39,22,99,3,1,1,1,1,2,2,1,1,NA,NA,NA,NA,2,NA,NA,NA,1,22,4,NA,NA,NA,NA,NA,NA,NA
7367,NA,1,NA,30,2,41,16,1,3,2,2,NA,1,2,2,1,1,NA,NA,NA,NA,1,1,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
7368,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7369,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
